,Temperature,Humidity,Pressure,Sea_level_pressure,Altitude,Noise_level,Light_intensity,Time
0,21.2,18.0,1006.00,100665.00,0.55,47.32,555.0,14:30:25
0,21.2,17.0,1006.00,100666.00,0.55,46.35,537.0,14:31:03
0,21.2,18.0,1006.00,100665.00,0.55,46.46,526.0,14:31:45
0,21.2,18.0,1006.00,100672.00,0.55,46.13,527.0,14:32:42
0,21.7,17.0,1006.00,100673.00,0.54,46.62,489.0,14:32:55
0,21.2,17.0,1006.00,100666.00,0.55,47.51,537.0,14:33:47
0,21.2,18.0,1006.00,100673.00,0.55,51.70,500.0,14:33:53
0,21.7,16.0,1006.00,100670.00,0.55,46.51,496.0,14:33:59
0,21.15,18.0,1006.00,100666.00,0.55,46.19,506.0,14:34:15
0,21.15,18.0,1006.00,100675.00,0.55,46.72,501.0,14:35:22
0,21.7,17.0,1006.00,100678.00,0.54,48.70,459.0,14:35:56
0,21.2,18.0,1006.00,100663.00,0.54,45.91,559.0,14:36:11
0,21.15,18.0,1006.00,100672.00,0.54,59.70,517.0,14:37:35
0,21.15,18.0,1006.00,100685.00,0.54,46.19,541.0,14:38:25
0,21.15,17.0,1006.00,100679.00,0.53,56.37,511.0,14:38:33
0,19.15,17.0,1006.00,100678.00,0.54,65.25,532.0,14:38:54
0,21.15,18.0,1006.00,100678.00,0.54,47.83,526.0,14:39:10
0,21.15,17.0,1006.00,100681.00,0.54,56.55,481.0,14:39:32
0,21.2,18.0,1006.00,100675.00,0.54,49.96,553.0,14:39:41
0,21.2,17.0,1006.00,100688.00,0.53,44.82,494.0,14:40:13
0,21.15,17.0,1006.00,100676.00,0.54,46.13,547.0,14:40:43
0,21.65,16.0,1006.00,100687.00,0.54,49.33,500.0,14:41:01
0,21.15,17.0,1006.00,100687.00,0.53,54.12,484.0,14:42:25
0,21.15,18.0,1006.00,100690.00,0.53,50.48,492.0,14:43:23
0,21.15,17.0,1006.00,100688.00,0.53,58.90,526.0,14:43:42
0,21.2,18.0,1006.00,100697.00,0.53,56.70,499.0,14:44:14
0,21.2,18.0,1006.00,100693.00,0.53,52.87,555.0,14:44:40
0,21.7,17.0,1006.00,100693.00,0.53,50.74,462.0,14:45:08
0,21.15,18.0,1006.00,100694.00,0.53,46.13,440.0,14:45:25
0,21.2,18.0,1006.00,100700.00,0.53,46.51,454.0,14:45:40
0,21.15,17.0,1006.00,100690.00,0.53,49.33,409.0,14:45:58
0,21.15,18.0,1006.00,100690.00,0.52,46.35,439.0,14:46:18
0,21.15,18.0,1006.00,100701.00,0.53,46.62,414.0,14:46:35
0,21.2,17.0,1006.00,100698.00,0.52,47.02,461.0,14:47:11
0,21.2,18.0,1006.00,100706.00,0.52,45.32,548.0,14:47:32
0,21.2,17.0,1006.00,100706.00,0.52,48.23,452.0,14:47:38
0,21.2,18.0,1007.00,100700.00,0.53,56.28,427.0,14:47:56
0,21.2,18.0,1006.00,100693.00,0.53,48.19,533.0,14:48:33
0,21.2,17.0,1006.00,100701.00,0.52,49.06,524.0,14:48:51
0,21.15,18.0,1006.00,100694.00,0.52,48.10,447.0,14:49:00
0,21.15,18.0,1006.00,100693.00,0.52,50.58,527.0,14:49:23
0,21.15,17.0,1007.00,100691.00,0.52,51.55,495.0,14:49:40
0,21.15,18.0,1006.00,100700.00,0.53,50.10,576.0,14:50:39
0,21.2,17.0,1006.00,100697.00,0.52,46.56,461.0,14:51:15
0,21.2,17.0,1007.00,100704.00,0.52,47.83,524.0,14:51:26
0,21.2,18.0,1007.00,100703.00,0.53,46.19,550.0,14:51:37
0,21.2,18.0,1007.00,100698.00,0.53,48.49,463.0,14:51:43
0,21.2,17.0,1006.00,100690.00,0.53,49.26,530.0,14:52:03
0,21.2,17.0,1006.00,100701.00,0.52,46.40,487.0,14:52:33
0,21.7,16.0,1006.00,100698.00,0.52,64.84,526.0,14:52:57
0,21.2,18.0,1007.00,100704.00,0.52,45.74,547.0,14:53:05
0,21.2,18.0,1007.00,100707.00,0.51,51.67,418.0,14:53:23
0,21.15,18.0,1006.00,100700.00,0.53,47.65,483.0,14:53:51
0,21.15,18.0,1006.00,100700.00,0.52,47.70,520.0,14:53:59
0,21.2,18.0,1007.00,100701.00,0.52,48.32,458.0,14:54:15
0,21.2,17.0,1007.00,100700.00,0.52,50.51,458.0,14:54:51
0,21.15,18.0,1007.00,100710.00,0.52,46.19,479.0,14:54:57
0,21.2,17.0,1007.00,100703.00,0.51,46.46,470.0,14:55:16
0,21.2,18.0,1007.00,100709.00,0.52,45.96,560.0,14:55:38
0,21.15,18.0,1007.00,100712.00,0.52,46.19,445.0,14:55:55
0,21.15,18.0,1007.00,100706.00,0.52,56.60,525.0,14:56:23
0,21.2,17.0,1007.00,100712.00,0.52,57.51,418.0,14:56:53
0,21.15,18.0,1007.00,100715.00,0.52,46.24,462.0,14:57:02
0,19.2,16.0,1007.00,100712.00,0.52,46.56,477.0,14:57:25
0,21.2,18.0,1007.00,100722.00,0.52,57.42,364.0,14:57:38
0,21.2,18.0,1007.00,100715.00,0.51,47.97,447.0,14:57:58
0,21.2,18.0,1007.00,100709.00,0.51,47.46,480.0,14:58:36
0,21.2,18.0,1007.00,100713.00,0.51,52.40,482.0,14:58:44
0,21.2,18.0,1007.00,100719.00,0.51,54.80,516.0,14:58:55
0,21.15,18.0,1007.00,100713.00,0.51,46.87,444.0,14:59:28
0,21.2,17.0,1007.00,100713.00,0.51,46.77,483.0,14:59:35
0,21.2,18.0,1007.00,100712.00,0.51,46.46,454.0,15:00:03
0,21.15,17.0,1007.00,100719.00,0.51,45.96,484.0,15:00:16
0,21.15,18.0,1007.00,100715.00,0.51,46.40,459.0,15:00:43
0,21.15,18.0,1007.00,100721.00,0.50,63.08,451.0,15:00:55
0,21.15,18.0,1007.00,100723.00,0.50,55.45,525.0,15:01:15
0,21.15,18.0,1007.00,100718.00,0.51,51.46,488.0,15:01:53
0,21.15,17.0,1007.00,100728.00,0.50,50.91,484.0,15:02:14
